"arm","model","q","frac_stage1","frac_stage2","T1","T2","n1","n2","b2","s_ref","K1_tar","K1","K2_tar","K2","cost_proxy","T_fd_budget","eligible","runtime_sec","l2_error","method","T_fd","K_fd_tar","K_fd","T_fs","b_fs","K_fs_tar","K_fs","experiment_id","config_id","n","p","s_star","s","rep_id","q_selected","T1_selected","T2_selected","seed_data","seed_algo_ts","seed_algo_fs","df_X","df_eps","theta_magnitude","validation_metric","tuning_selection_rule"
"FS","linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,TRUE,2.62999999999988,15.1938486134636,"FS",NA,NA,NA,22,81,8,8,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,32,0.5,200,8,20490452,20500452,20700452,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"TS","linear",0.5,0.5,0.5,200,8,900,900,112,15,113,90,8,8,180896,101,TRUE,37.47,0.353585562453322,"TS",NA,NA,NA,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,33,0.5,200,8,20490453,20500453,20700453,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FD","linear",NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,101,TRUE,19.8899999999999,0.798827245615342,"FD_budget",101,113,113,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,33,0.5,200,8,20490453,20500453,20700453,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FS","linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,TRUE,3.25999999999999,14.9189934723975,"FS",NA,NA,NA,22,81,8,8,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,33,0.5,200,8,20490453,20500453,20700453,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"TS","linear",0.5,0.5,0.5,200,8,900,900,112,15,113,90,8,8,180896,101,TRUE,38.46,0.611476555642815,"TS",NA,NA,NA,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,34,0.5,200,8,20490454,20500454,20700454,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FD","linear",NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,101,TRUE,19.6800000000001,1.34042438325957,"FD_budget",101,113,113,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,34,0.5,200,8,20490454,20500454,20700454,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FS","linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,TRUE,2.81999999999994,16.4146755375767,"FS",NA,NA,NA,22,81,8,8,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,34,0.5,200,8,20490454,20500454,20700454,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"TS","linear",0.5,0.5,0.5,200,8,900,900,112,15,113,90,8,8,180896,101,TRUE,37.8299999999999,0.3646045139634,"TS",NA,NA,NA,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,35,0.5,200,8,20490455,20500455,20700455,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FD","linear",NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,101,TRUE,21.3400000000001,0.718489822296896,"FD_budget",101,113,113,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,35,0.5,200,8,20490455,20500455,20700455,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FS","linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,TRUE,2.90999999999985,17.7564829678483,"FS",NA,NA,NA,22,81,8,8,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,35,0.5,200,8,20490455,20500455,20700455,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
