"model","rep_id","iter","l2_error","tp","fp","fn","precision","recall","f1","jaccard_prev","hamming_prev","window_union_size","window_union_false_size","false_effective_width_current"
"linear",2,16,3.36142930172957,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,17,3.29271807707238,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,18,3.22553436781315,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,19,3.15987372700527,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,20,3.09585870612645,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,21,3.0335582423322,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,22,2.97292472612016,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,23,2.91380220322322,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,24,2.8558752601167,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,25,2.79914183906882,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,26,2.74378123891072,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,27,2.6898121918099,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,28,2.63740258174509,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,29,2.58650848459549,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,30,2.53689182610766,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,31,2.48850086038709,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,32,2.44115328988071,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,33,2.3946705513974,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,34,2.34901706978446,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,35,2.30405842059477,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,36,2.25978825571388,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,37,2.21617462616912,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,38,2.17324546216888,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,39,2.13105792081006,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,40,2.08966653408549,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,45,1.89403206515913,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,50,1.71880252696554,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,55,1.56260445889674,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,60,1.42076046063551,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,65,1.29231301547586,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,70,1.17835596467455,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,75,1.07840659763279,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,80,0.990587959788032,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,85,0.913040859823752,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,90,0.843200334002226,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,95,0.779286203629342,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,100,0.720672743378734,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,105,0.668623583869814,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,110,0.621666557758437,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,115,0.580423575266955,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,120,0.544536162935123,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,125,0.51334787393996,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,130,0.486274794755712,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,135,0.462081538666925,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,140,0.44060040774674,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,145,0.420947945468283,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,150,0.403238154026888,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,155,0.38767320273819,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,160,0.374038055839864,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,165,0.361980788827387,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,170,0.350939838958124,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,175,0.340872269225795,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,180,0.331704414611468,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,185,0.322711415180285,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,190,0.314144061706362,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,195,0.305852424362127,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,200,0.297830723946164,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,205,0.290644410851912,10,10,0,0.5,1,0.666666666666667,0.0952380952380952,2,21,11,10
"linear",2,210,0.283754902742782,10,10,0,0.5,1,0.666666666666667,0,0,21,11,10
"linear",2,215,0.276818335682714,10,10,0,0.5,1,0.666666666666667,0,0,21,11,10
"linear",2,220,0.270406470520325,10,10,0,0.5,1,0.666666666666667,0,0,21,11,10
"linear",2,225,0.265081174854092,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,230,0.261111460009979,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,235,0.258277115279568,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,240,0.256347818126299,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
