"p","n","rep_id","method","l2_error","df_x","scale_x","q","T1","T2","c_K1","c_K2","K1","K2","K1_block_size","K2_block_size","ts_eligible","seed_data","seed_ts"
600,2000,7,"Shrinkage",1.1607422218552,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000007,4000007
600,600,8,"TS-RIGHT",0.511286506652413,2.05,4,0.2,2000,2,0.75,0.5,24,4,20,15,TRUE,1600008,2600008
600,600,8,"IHT",0.486070100742226,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600008,2600008
600,600,8,"Lasso",1.74647584626155,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600008,2600008
600,600,8,"Shrinkage",1.56583426004234,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600008,2600008
600,800,8,"TS-RIGHT",1.01127577205857,2.05,4,0.2,2000,2,0.75,0.5,24,4,26.6666666666667,20,TRUE,1800008,2800008
600,800,8,"IHT",0.625718027018438,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800008,2800008
600,800,8,"Lasso",1.61415154405099,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800008,2800008
600,800,8,"Shrinkage",1.25471567632624,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800008,2800008
600,1200,8,"TS-RIGHT",0.302835714880726,2.05,4,0.2,2000,2,0.75,0.5,24,4,40,30,TRUE,2200008,3200008
600,1200,8,"IHT",0.516339924714144,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200008,3200008
600,1200,8,"Lasso",1.52238040906669,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200008,3200008
600,1200,8,"Shrinkage",1.22787182414717,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200008,3200008
600,1600,8,"TS-RIGHT",0.602008449866494,2.05,4,0.2,2000,2,0.75,0.5,24,4,53.3333333333333,40,TRUE,2600008,3600008
600,1600,8,"IHT",0.569194704463976,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600008,3600008
600,1600,8,"Lasso",1.35980545905733,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600008,3600008
600,1600,8,"Shrinkage",1.36836070966221,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600008,3600008
600,2000,8,"TS-RIGHT",0.212566596978087,2.05,4,0.2,2000,2,0.75,0.5,24,4,66.6666666666667,50,TRUE,3000008,4000008
600,2000,8,"IHT",0.544174912564553,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000008,4000008
600,2000,8,"Lasso",1.41538059201444,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000008,4000008
600,2000,8,"Shrinkage",1.21521277290814,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000008,4000008
600,600,9,"TS-RIGHT",0.289204402252343,2.05,4,0.2,2000,2,0.75,0.5,24,4,20,15,TRUE,1600009,2600009
600,600,9,"IHT",0.483666643623522,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600009,2600009
600,600,9,"Lasso",1.67143894413871,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600009,2600009
600,600,9,"Shrinkage",1.59311724546211,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600009,2600009
600,800,9,"TS-RIGHT",0.184104727551802,2.05,4,0.2,2000,2,0.75,0.5,24,4,26.6666666666667,20,TRUE,1800009,2800009
600,800,9,"IHT",0.524623100113613,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800009,2800009
600,800,9,"Lasso",1.64136224638726,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800009,2800009
600,800,9,"Shrinkage",1.43926722580799,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800009,2800009
600,1200,9,"TS-RIGHT",0.168397568319164,2.05,4,0.2,2000,2,0.75,0.5,24,4,40,30,TRUE,2200009,3200009
600,1200,9,"IHT",0.569819397485341,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200009,3200009
600,1200,9,"Lasso",1.55765016802015,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200009,3200009
600,1200,9,"Shrinkage",1.31564401136719,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200009,3200009
600,1600,9,"TS-RIGHT",0.270297543141722,2.05,4,0.2,2000,2,0.75,0.5,24,4,53.3333333333333,40,TRUE,2600009,3600009
600,1600,9,"IHT",0.455901145868372,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600009,3600009
600,1600,9,"Lasso",1.3652749402894,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600009,3600009
600,1600,9,"Shrinkage",1.11477449021033,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600009,3600009
600,2000,9,"TS-RIGHT",0.453616666961162,2.05,4,0.2,2000,2,0.75,0.5,24,4,66.6666666666667,50,TRUE,3000009,4000009
600,2000,9,"IHT",0.546327018510105,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000009,4000009
600,2000,9,"Lasso",1.33015869475579,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000009,4000009
600,2000,9,"Shrinkage",1.24178801986704,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000009,4000009
600,600,10,"TS-RIGHT",0.512399881536965,2.05,4,0.2,2000,2,0.75,0.5,24,4,20,15,TRUE,1600010,2600010
600,600,10,"IHT",0.46598317227661,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600010,2600010
600,600,10,"Lasso",1.59550953299286,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600010,2600010
600,600,10,"Shrinkage",1.4656744854299,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600010,2600010
600,800,10,"TS-RIGHT",0.720997871982875,2.05,4,0.2,2000,2,0.75,0.5,24,4,26.6666666666667,20,TRUE,1800010,2800010
600,800,10,"IHT",0.586232223082961,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800010,2800010
600,800,10,"Lasso",1.48232010424916,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800010,2800010
600,800,10,"Shrinkage",1.53769485846741,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800010,2800010
600,1200,10,"TS-RIGHT",0.419558637925627,2.05,4,0.2,2000,2,0.75,0.5,24,4,40,30,TRUE,2200010,3200010
600,1200,10,"IHT",0.403245160010197,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200010,3200010
600,1200,10,"Lasso",1.33677155055268,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200010,3200010
600,1200,10,"Shrinkage",0.744886537219572,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200010,3200010
600,1600,10,"TS-RIGHT",0.324508318193184,2.05,4,0.2,2000,2,0.75,0.5,24,4,53.3333333333333,40,TRUE,2600010,3600010
600,1600,10,"IHT",0.542643562068925,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600010,3600010
600,1600,10,"Lasso",2.23606797749979,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600010,3600010
600,1600,10,"Shrinkage",1.00963478644414,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600010,3600010
600,2000,10,"TS-RIGHT",0.116299211751863,2.05,4,0.2,2000,2,0.75,0.5,24,4,66.6666666666667,50,TRUE,3000010,4000010
600,2000,10,"IHT",0.52763867871422,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000010,4000010
600,2000,10,"Lasso",1.45022265951507,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000010,4000010
600,2000,10,"Shrinkage",1.16852733551986,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000010,4000010
