"n","p","rep_id","method","l2_error","runtime_sec","seed_data","seed_split","seed_algo","tuning_config_id","q","T1","T2","T_fd_budget","eta","T","lambda","tau","tau_q"
1200,800,5,"Lasso",0.631274763723311,8.19,20880512,20980512,21180512,NA,NA,NA,NA,NA,NA,NA,0.842585598786385,NA,NA
1200,800,5,"Adaptive Huber",0.282194679059851,207.56,20880512,20980512,21280512,NA,NA,NA,NA,NA,NA,NA,0.138949549437314,3.99622150113532,0.9
1200,800,5,"Shrinkage",1.13970523140089,4.54999999999998,20880512,20980512,21380512,NA,NA,NA,NA,NA,NA,NA,0.936282620772045,5.33865305185723,0.98
1600,800,5,"TS-RIGHT",0.22537701741885,6.56,20890512,20990512,21090512,"TS_n1600_h21db9f6b",0.5,150,8,76,0.02,NA,NA,NA,NA
1600,800,5,"IHT",0.253812255034162,7.21,20890512,20990512,NA,"IHT_n1600_h06b009d4",NA,NA,NA,NA,0.01,200,NA,NA,NA
1600,800,5,"Lasso",0.541337768154462,5.25,20890512,20990512,21190512,NA,NA,NA,NA,NA,NA,NA,0.822841347371768,NA,NA
1600,800,5,"Adaptive Huber",0.240432165384054,281.79,20890512,20990512,21290512,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.6135482763021,0.95
1600,800,5,"Shrinkage",1.35296682194276,14.38,20890512,20990512,21390512,NA,NA,NA,NA,NA,NA,NA,0.559408672417265,5.13601065939419,0.98
2000,800,5,"TS-RIGHT",0.183740926972855,7.11,20900512,21000512,21100512,"TS_n2000_h06bee7e5",0.5,150,8,76,0.02,NA,NA,NA,NA
2000,800,5,"IHT",Inf,7.41,20900512,21000512,NA,"IHT_n2000_h371ec77d",NA,NA,NA,NA,0.01,200,NA,NA,NA
2000,800,5,"Lasso",0.515312353881026,8,20900512,21000512,21200512,NA,NA,NA,NA,NA,NA,NA,0.439510446485898,NA,NA
2000,800,5,"Adaptive Huber",0.227635801904285,365.77,20900512,21000512,21300512,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.57320277822876,0.95
2000,800,5,"Shrinkage",1.06874596912243,14.69,20900512,21000512,21400512,NA,NA,NA,NA,NA,NA,NA,0.790557943139739,3.59112526179734,0.95
2400,800,5,"TS-RIGHT",0.179718537533387,7.62,20910512,21010512,21110512,"TS_n2400_h2202f38e",0.5,150,8,76,0.02,NA,NA,NA,NA
2400,800,5,"IHT",0.702371249561788,10.67,20910512,21010512,NA,"IHT_n2400_h1d7d87f6",NA,NA,NA,NA,0.01,200,NA,NA,NA
2400,800,5,"Lasso",1.02520942852915,10.11,20910512,21010512,21210512,NA,NA,NA,NA,NA,NA,NA,1.44981096062318,NA,NA
2400,800,5,"Adaptive Huber",0.163843475599388,436.72,20910512,21010512,21310512,NA,NA,NA,NA,NA,NA,NA,0.138949549437314,7.78951936255057,0.95
2400,800,5,"Shrinkage",1.13754369321866,15.08,20910512,21010512,21410512,NA,NA,NA,NA,NA,NA,NA,0.656110525269747,3.52347413020815,0.95
800,800,6,"TS-RIGHT",0.256319037176973,6.97,20870513,20970513,21070513,"TS_n800_h155f087a",0.5,200,8,101,0.02,NA,NA,NA,NA
800,800,6,"IHT",1.3118322115215e+73,1.87,20870513,20970513,NA,"IHT_n800_h17021d83",NA,NA,NA,NA,0.01,200,NA,NA,NA
800,800,6,"Lasso",0.680007652274989,2.63,20870513,20970513,21170513,NA,NA,NA,NA,NA,NA,NA,1.11123375326006,NA,NA
800,800,6,"Adaptive Huber",0.251398653307438,132.22,20870513,20970513,21270513,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.22735233008522,0.95
800,800,6,"Shrinkage",1.65936653877813,2.28999999999999,20870513,20970513,21370513,NA,NA,NA,NA,NA,NA,NA,1.22918405825614,3.71326861285044,0.95
1200,800,6,"TS-RIGHT",0.271147895164953,5.87,20880513,20980513,21080513,"TS_n1200_h069793c2",0.5,150,8,76,0.02,NA,NA,NA,NA
1200,800,6,"IHT",0.393962248803269,3.25,20880513,20980513,NA,"IHT_n1200_h2051495b",NA,NA,NA,NA,0.01,200,NA,NA,NA
1200,800,6,"Lasso",0.558213504123056,3.5,20880513,20980513,21180513,NA,NA,NA,NA,NA,NA,NA,0.526710117276674,NA,NA
1200,800,6,"Adaptive Huber",0.334824861450702,205.53,20880513,20980513,21280513,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,3.75914038305611,0.9
1200,800,6,"Shrinkage",1.65746531020384,5.53,20880513,20980513,21380513,NA,NA,NA,NA,NA,NA,NA,0.764226847765544,5.17309723374228,0.98
1600,800,6,"TS-RIGHT",0.263517212665442,6.08,20890513,20990513,21090513,"TS_n1600_h21db9f6b",0.5,150,8,76,0.02,NA,NA,NA,NA
1600,800,6,"IHT",0.321745605501058,5.89,20890513,20990513,NA,"IHT_n1600_h06b009d4",NA,NA,NA,NA,0.01,200,NA,NA,NA
1600,800,6,"Lasso",0.5057596962566,6.07,20890513,20990513,21190513,NA,NA,NA,NA,NA,NA,NA,0.527492243603497,NA,NA
1600,800,6,"Adaptive Huber",0.305543737721957,287.42,20890513,20990513,21290513,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,5.6836368261618,0.95
1600,800,6,"Shrinkage",1.50587180328532,13.45,20890513,20990513,21390513,NA,NA,NA,NA,NA,NA,NA,0.862882043057934,5.14613700554523,0.98
2000,800,6,"TS-RIGHT",0.179914077695439,7.14,20900513,21000513,21100513,"TS_n2000_h06bee7e5",0.5,150,8,76,0.02,NA,NA,NA,NA
2000,800,6,"IHT",0.320362760545085,7.03,20900513,21000513,NA,"IHT_n2000_h371ec77d",NA,NA,NA,NA,0.01,200,NA,NA,NA
2000,800,6,"Lasso",0.264095592666865,6.16,20900513,21000513,21200513,NA,NA,NA,NA,NA,NA,NA,0.59845687518216,NA,NA
2000,800,6,"Adaptive Huber",0.181091260343937,363.28,20900513,21000513,21300513,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.30011928163588,0.95
2000,800,6,"Shrinkage",1.00654684728075,15.28,20900513,21000513,21400513,NA,NA,NA,NA,NA,NA,NA,0.740045288744149,3.67705474367812,0.95
2400,800,6,"TS-RIGHT",0.203992354111515,7.56,20910513,21010513,21110513,"TS_n2400_h2202f38e",0.5,150,8,76,0.02,NA,NA,NA,NA
2400,800,6,"IHT",0.487080711915795,9.55,20910513,21010513,NA,"IHT_n2400_h1d7d87f6",NA,NA,NA,NA,0.01,200,NA,NA,NA
2400,800,6,"Lasso",0.522699014300593,5.65,20910513,21010513,21210513,NA,NA,NA,NA,NA,NA,NA,0.926502690168856,NA,NA
2400,800,6,"Adaptive Huber",0.228376218935773,422.14,20910513,21010513,21310513,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.88186910744741,0.95
2400,800,6,"Shrinkage",1.00176911564831,16.36,20910513,21010513,21410513,NA,NA,NA,NA,NA,NA,NA,0.797569139422244,5.45144121310894,0.98
800,800,7,"TS-RIGHT",0.297770735991651,7.07,20870514,20970514,21070514,"TS_n800_h155f087a",0.5,200,8,101,0.02,NA,NA,NA,NA
800,800,7,"IHT",0.352161637554128,2.2,20870514,20970514,NA,"IHT_n800_h17021d83",NA,NA,NA,NA,0.01,200,NA,NA,NA
800,800,7,"Lasso",0.658414024854344,0.909999999999998,20870514,20970514,21170514,NA,NA,NA,NA,NA,NA,NA,0.797384924841178,NA,NA
800,800,7,"Adaptive Huber",0.379644795841291,131.59,20870514,20970514,21270514,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,12.3317321781461,0.98
800,800,7,"Shrinkage",2.04629495562996,1.89000000000001,20870514,20970514,21370514,NA,NA,NA,NA,NA,NA,NA,1.08329761282725,3.77823840254557,0.95
1200,800,7,"TS-RIGHT",0.197745414391236,7.22999999999999,20880514,20980514,21080514,"TS_n1200_h069793c2",0.5,150,8,76,0.02,NA,NA,NA,NA
1200,800,7,"IHT",0.866556148306136,3.44,20880514,20980514,NA,"IHT_n1200_h2051495b",NA,NA,NA,NA,0.01,200,NA,NA,NA
1200,800,7,"Lasso",1.05438038005417,5.05000000000001,20880514,20980514,21180514,NA,NA,NA,NA,NA,NA,NA,1.53884440084208,NA,NA
1200,800,7,"Adaptive Huber",0.259963623627674,206.2,20880514,20980514,21280514,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,7.02408361051535,0.95
1200,800,7,"Shrinkage",1.51025421180836,5.22000000000003,20880514,20980514,21380514,NA,NA,NA,NA,NA,NA,NA,0.665777368137129,5.18889416824831,0.98
1600,800,7,"TS-RIGHT",0.176960078706713,8.01000000000002,20890514,20990514,21090514,"TS_n1600_h21db9f6b",0.5,150,8,76,0.02,NA,NA,NA,NA
1600,800,7,"IHT",0.306389536036864,7.13,20890514,20990514,NA,"IHT_n1600_h06b009d4",NA,NA,NA,NA,0.01,200,NA,NA,NA
1600,800,7,"Lasso",0.27963067577012,5.38999999999999,20890514,20990514,21190514,NA,NA,NA,NA,NA,NA,NA,0.488546727413434,NA,NA
1600,800,7,"Adaptive Huber",0.169749768206348,287.34,20890514,20990514,21290514,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,6.3423970013107,0.95
1600,800,7,"Shrinkage",1.34960286179029,13.64,20890514,20990514,21390514,NA,NA,NA,NA,NA,NA,NA,0.696977886010132,3.74965518493343,0.95
2000,800,7,"TS-RIGHT",0.17196366758752,9,20900514,21000514,21100514,"TS_n2000_h06bee7e5",0.5,150,8,76,0.02,NA,NA,NA,NA
2000,800,7,"IHT",0.183787780161464,7.72999999999999,20900514,21000514,NA,"IHT_n2000_h371ec77d",NA,NA,NA,NA,0.01,200,NA,NA,NA
2000,800,7,"Lasso",0.320169544417602,4.74000000000001,20900514,21000514,21200514,NA,NA,NA,NA,NA,NA,NA,0.474403000875264,NA,NA
2000,800,7,"Adaptive Huber",0.172346323886646,355.55,20900514,21000514,21300514,NA,NA,NA,NA,NA,NA,NA,0.138949549437314,6.49166572831043,0.95
2000,800,7,"Shrinkage",1.28117469133402,14.4200000000001,20900514,21000514,21400514,NA,NA,NA,NA,NA,NA,NA,0.704629768048574,3.79190273059219,0.95
2400,800,7,"TS-RIGHT",0.171124538461706,9.59999999999999,20910514,21010514,21110514,"TS_n2400_h2202f38e",0.5,150,8,76,0.02,NA,NA,NA,NA
2400,800,7,"IHT",0.447759845784728,8.59,20910514,21010514,NA,"IHT_n2400_h1d7d87f6",NA,NA,NA,NA,0.01,200,NA,NA,NA
2400,800,7,"Lasso",0.418519200035883,5.56,20910514,21010514,21210514,NA,NA,NA,NA,NA,NA,NA,0.6633566406372,NA,NA
