"model","rep_id","radius_id","radius","cand_id","K_name","regime","multiplier","K","block_size","q_top","topq_error","l2_error","linf_error","ref_grad_norm"
"linear",3,4,0.5,2,"K2_c14","local",14,90,22,125,2.57634543844566,3.06814440929811,0.768640427402996,2.5
"linear",3,4,0.5,3,"K1_global","global",1,160,12,125,2.40949144262879,2.81800416217545,1.07655607212706,2.5
"linear",3,4,0.5,3,"K2_c10","local",10,64,31,125,3.21959954099477,3.87528284789101,0.765524929391814,2.5
"linear",3,4,0.5,3,"K2_c12","local",12,77,25,125,2.94577112517164,3.50022632221442,0.852857029900119,2.5
"linear",3,4,0.5,3,"K2_c14","local",14,90,22,125,2.70023207777035,3.21319492042536,0.922428553574139,2.5
"linear",3,4,0.5,4,"K1_global","global",1,160,12,125,2.58522335890979,3.00140542967758,0.913033199414889,2.5
"linear",3,4,0.5,4,"K2_c10","local",10,64,31,125,3.13706318265916,3.71613480263672,0.928769528081149,2.5
"linear",3,4,0.5,4,"K2_c12","local",12,77,25,125,2.83287850973015,3.42482444095107,0.859155426663724,2.5
"linear",3,4,0.5,4,"K2_c14","local",14,90,22,125,2.72624521736851,3.17716059097776,0.820073687824505,2.5
"linear",3,4,0.5,5,"K1_global","global",1,160,12,125,2.55611646251784,3.0102127008028,0.723812777525373,2.5
"linear",3,4,0.5,5,"K2_c10","local",10,64,31,125,3.27399439062332,4.01140758875992,0.632307846612864,2.5
"linear",3,4,0.5,5,"K2_c12","local",12,77,25,125,2.92915185857113,3.46204540755634,0.545464350963824,2.5
"linear",3,4,0.5,5,"K2_c14","local",14,90,22,125,2.82827914972621,3.34703383075948,0.664070781765017,2.5
"linear",3,4,0.5,6,"K1_global","global",1,160,12,125,2.45513317749661,2.88640110832502,1.10960947462895,2.5
"linear",3,4,0.5,6,"K2_c10","local",10,64,31,125,3.08554125717788,3.66195369995687,0.938582075291167,2.5
"linear",3,4,0.5,6,"K2_c12","local",12,77,25,125,2.79372497140747,3.29501772687628,1.100741498698,2.5
"linear",3,4,0.5,6,"K2_c14","local",14,90,22,125,2.56937922009208,3.07221796424663,0.967764282251706,2.5
"linear",3,4,0.5,7,"K1_global","global",1,160,12,125,2.38138333358042,2.82261039412525,0.814767435965672,2.5
"linear",3,4,0.5,7,"K2_c10","local",10,64,31,125,3.08605478015307,3.76113145688293,0.539530115656702,2.5
"linear",3,4,0.5,7,"K2_c12","local",12,77,25,125,2.75747252109915,3.35591067859773,0.617297056149034,2.5
"linear",3,4,0.5,7,"K2_c14","local",14,90,22,125,2.45577668099255,2.98405713075215,0.609019148948188,2.5
"linear",3,4,0.5,8,"K1_global","global",1,160,12,125,2.4509688351804,2.89086462623334,0.749113527997505,2.5
"linear",3,4,0.5,8,"K2_c10","local",10,64,31,125,3.28746424759744,3.97996099928835,0.824404105795095,2.5
"linear",3,4,0.5,8,"K2_c12","local",12,77,25,125,2.9208598043914,3.55438468594175,0.754865561260613,2.5
"linear",3,4,0.5,8,"K2_c14","local",14,90,22,125,2.75135951432965,3.30283310313874,0.75401464219342,2.5
"linear",3,4,0.5,9,"K1_global","global",1,160,12,125,2.44853224760257,2.92615395399423,0.985303422514131,2.5
"linear",3,4,0.5,9,"K2_c10","local",10,64,31,125,3.34182207393254,4.00799349577443,0.658223776797194,2.5
"linear",3,4,0.5,9,"K2_c12","local",12,77,25,125,2.83911668082817,3.39848692834088,0.653947982508894,2.5
"linear",3,4,0.5,9,"K2_c14","local",14,90,22,125,2.70661381566738,3.20868172789768,0.79696794797294,2.5
"linear",3,4,0.5,10,"K1_global","global",1,160,12,125,2.3334953917606,2.71784542898355,1.20589199791031,2.5
"linear",3,4,0.5,10,"K2_c10","local",10,64,31,125,3.25193732664791,3.91690785974197,1.02601578430478,2.5
"linear",3,4,0.5,10,"K2_c12","local",12,77,25,125,2.87496541763818,3.46072994063507,1.02346001623463,2.5
"linear",3,4,0.5,10,"K2_c14","local",14,90,22,125,2.7033864489807,3.16567796869411,1.01125095453019,2.5
"linear",3,4,0.5,11,"K1_global","global",1,160,12,125,2.36779223000071,2.72127799562077,0.937580077117467,2.5
"linear",3,4,0.5,11,"K2_c10","local",10,64,31,125,2.98842944647399,3.62688324705487,0.783664912633862,2.5
"linear",3,4,0.5,11,"K2_c12","local",12,77,25,125,2.77996069193287,3.33545229660071,0.896192802987824,2.5
"linear",3,4,0.5,11,"K2_c14","local",14,90,22,125,2.59008331822074,3.07829951260402,0.880797617788683,2.5
"linear",3,4,0.5,12,"K1_global","global",1,160,12,125,2.50750677210912,2.97043695566064,0.953644618887492,2.5
"linear",3,4,0.5,12,"K2_c10","local",10,64,31,125,3.29583813671712,4.01366912470529,0.804935792549453,2.5
"linear",3,4,0.5,12,"K2_c12","local",12,77,25,125,2.90771932996831,3.47528721270154,0.947036492379044,2.5
"linear",3,4,0.5,12,"K2_c14","local",14,90,22,125,2.64409693197891,3.13233810128754,0.966506460160823,2.5
"linear",3,5,0.25,1,"K1_global","global",1,160,12,125,1.9378804358749,2.34831678144993,0.397519770545878,1.25
"linear",3,5,0.25,1,"K2_c10","local",10,64,31,125,2.5667105503027,3.10129524120525,0.39962832624645,1.25
"linear",3,5,0.25,1,"K2_c12","local",12,77,25,125,2.27395426971144,2.78925610543536,0.362779402377903,1.25
"linear",3,5,0.25,1,"K2_c14","local",14,90,22,125,2.09705047307066,2.5802775437946,0.353938068305186,1.25
"linear",3,5,0.25,2,"K1_global","global",1,160,12,125,1.85989425257015,2.2299261256827,0.509733626840273,1.25
"linear",3,5,0.25,2,"K2_c10","local",10,64,31,125,2.52459500262752,3.07218844714547,0.505806880862068,1.25
"linear",3,5,0.25,2,"K2_c12","local",12,77,25,125,2.30696342302855,2.7817357667728,0.611355727058006,1.25
"linear",3,5,0.25,2,"K2_c14","local",14,90,22,125,2.13715411940475,2.54887150242734,0.559638079867811,1.25
"linear",3,5,0.25,3,"K1_global","global",1,160,12,125,1.88482635608799,2.30076140619942,0.372667649678248,1.25
"linear",3,5,0.25,3,"K2_c10","local",10,64,31,125,2.69867418210997,3.27034174226834,0.459111375120391,1.25
"linear",3,5,0.25,3,"K2_c12","local",12,77,25,125,2.25039437432708,2.80210854407604,0.359396845548307,1.25
"linear",3,5,0.25,3,"K2_c14","local",14,90,22,125,2.15268656740288,2.63408269138567,0.386367383501125,1.25
"linear",3,5,0.25,4,"K1_global","global",1,160,12,125,1.84818867089584,2.27804168046349,0.38805169253485,1.25
"linear",3,5,0.25,4,"K2_c10","local",10,64,31,125,2.48926658367895,3.04171474151272,0.385621700746753,1.25
"linear",3,5,0.25,4,"K2_c12","local",12,77,25,125,2.27224645722392,2.79128647596085,0.322486487327769,1.25
"linear",3,5,0.25,4,"K2_c14","local",14,90,22,125,2.09966439860038,2.58460216662676,0.320841121499432,1.25
"linear",3,5,0.25,5,"K1_global","global",1,160,12,125,1.93839522039572,2.35189255693008,0.512051824145596,1.25
"linear",3,5,0.25,5,"K2_c10","local",10,64,31,125,2.65897797989071,3.26570213910975,0.451670028856886,1.25
"linear",3,5,0.25,5,"K2_c12","local",12,77,25,125,2.24276695795629,2.75985262292293,0.399234428762923,1.25
"linear",3,5,0.25,5,"K2_c14","local",14,90,22,125,2.15674255870083,2.64342595286844,0.423475057241657,1.25
"linear",3,5,0.25,6,"K1_global","global",1,160,12,125,1.85242337377925,2.24842932938341,0.585113604721999,1.25
"linear",3,5,0.25,6,"K2_c10","local",10,64,31,125,2.61070411949042,3.17739220958011,0.544100865539259,1.25
"linear",3,5,0.25,6,"K2_c12","local",12,77,25,125,2.40363410804247,2.8666853734361,0.806562057016894,1.25
"linear",3,5,0.25,6,"K2_c14","local",14,90,22,125,2.17059830183689,2.59179669050188,0.619178924031622,1.25
"linear",3,5,0.25,7,"K1_global","global",1,160,12,125,1.85116331713394,2.28131470086479,0.343893880906462,1.25
"linear",3,5,0.25,7,"K2_c10","local",10,64,31,125,2.56576905026699,3.13038733103521,0.413206224280283,1.25
"linear",3,5,0.25,7,"K2_c12","local",12,77,25,125,2.25340549895859,2.75025106827972,0.312934729836918,1.25
"linear",3,5,0.25,7,"K2_c14","local",14,90,22,125,2.03962596025041,2.49967501907885,0.413653996669479,1.25
"linear",3,5,0.25,8,"K1_global","global",1,160,12,125,1.91359917377474,2.30105476244009,0.427211015838123,1.25
"linear",3,5,0.25,8,"K2_c10","local",10,64,31,125,2.54953497852037,3.11022868083983,0.463458038488006,1.25
"linear",3,5,0.25,8,"K2_c12","local",12,77,25,125,2.17719372054495,2.65174676885988,0.348953124766935,1.25
"linear",3,5,0.25,8,"K2_c14","local",14,90,22,125,2.06768822219118,2.51983366674016,0.388009593349226,1.25
"linear",3,5,0.25,9,"K1_global","global",1,160,12,125,1.94877086240574,2.33684219824055,0.375275345285988,1.25
"linear",3,5,0.25,9,"K2_c10","local",10,64,31,125,2.64692222844911,3.25108072047161,0.440268970336462,1.25
"linear",3,5,0.25,9,"K2_c12","local",12,77,25,125,2.28946422632262,2.7857403832296,0.427811479595703,1.25
"linear",3,5,0.25,9,"K2_c14","local",14,90,22,125,2.10704304469078,2.58024399620266,0.363542666020913,1.25
"linear",3,5,0.25,10,"K1_global","global",1,160,12,125,1.92928419170305,2.31744457945753,0.452323083109801,1.25
"linear",3,5,0.25,10,"K2_c10","local",10,64,31,125,2.65427856923132,3.26059478960826,0.48832346546016,1.25
"linear",3,5,0.25,10,"K2_c12","local",12,77,25,125,2.26738771749429,2.7683639381325,0.404282596159444,1.25
"linear",3,5,0.25,10,"K2_c14","local",14,90,22,125,2.12868093928582,2.55039640121453,0.384442186093312,1.25
"linear",3,5,0.25,11,"K1_global","global",1,160,12,125,1.76794904068307,2.16272565998926,0.433175138435759,1.25
"linear",3,5,0.25,11,"K2_c10","local",10,64,31,125,2.48458546329243,3.07230519143994,0.4722504894095,1.25
"linear",3,5,0.25,11,"K2_c12","local",12,77,25,125,2.21819670469114,2.70379968746984,0.365934822334566,1.25
"linear",3,5,0.25,11,"K2_c14","local",14,90,22,125,2.00943699679765,2.47695947461942,0.414583191646418,1.25
"linear",3,5,0.25,12,"K1_global","global",1,160,12,125,1.7528627597534,2.2044397236247,0.301986292062339,1.25
"linear",3,5,0.25,12,"K2_c10","local",10,64,31,125,2.59779760027547,3.14775102583119,0.453541979457535,1.25
"linear",3,5,0.25,12,"K2_c12","local",12,77,25,125,2.1683547741943,2.69665269119693,0.400989418784279,1.25
"linear",3,5,0.25,12,"K2_c14","local",14,90,22,125,2.05264712221873,2.50354737832632,0.413983931434329,1.25
"linear",3,6,0.1,1,"K1_global","global",1,160,12,125,1.68486835540324,2.075470079821,0.261230728227277,0.5
"linear",3,6,0.1,1,"K2_c10","local",10,64,31,125,2.4070614311408,2.92897511256363,0.369578389363934,0.5
"linear",3,6,0.1,1,"K2_c12","local",12,77,25,125,2.09559348779518,2.57637941463949,0.366538663187887,0.5
"linear",3,6,0.1,1,"K2_c14","local",14,90,22,125,1.88332242124779,2.3552368138518,0.283271955901616,0.5
"linear",3,6,0.1,2,"K1_global","global",1,160,12,125,1.66095202400047,2.02824327420047,0.234122762641444,0.5
"linear",3,6,0.1,2,"K2_c10","local",10,64,31,125,2.30402492106962,2.81505520642057,0.41578552763416,0.5
"linear",3,6,0.1,2,"K2_c12","local",12,77,25,125,2.06262866366879,2.5655567206654,0.366838967160418,0.5
"linear",3,6,0.1,2,"K2_c14","local",14,90,22,125,1.84704092506935,2.27896593825801,0.302656942909225,0.5
"linear",3,6,0.1,3,"K1_global","global",1,160,12,125,1.62470503877629,1.99729012929004,0.254476575552899,0.5
"linear",3,6,0.1,3,"K2_c10","local",10,64,31,125,2.29865283175112,2.83116394829544,0.385273643171245,0.5
"linear",3,6,0.1,3,"K2_c12","local",12,77,25,125,2.07489458291142,2.58887979110032,0.299634153233359,0.5
"linear",3,6,0.1,3,"K2_c14","local",14,90,22,125,1.83682788654769,2.27491906962302,0.301468317271285,0.5
"linear",3,6,0.1,4,"K1_global","global",1,160,12,125,1.65891337645264,2.05892113607098,0.236562115545205,0.5
"linear",3,6,0.1,4,"K2_c10","local",10,64,31,125,2.29440689730225,2.83567561800806,0.396257654345771,0.5
"linear",3,6,0.1,4,"K2_c12","local",12,77,25,125,2.01791832119185,2.4684323024369,0.386692764181587,0.5
"linear",3,6,0.1,4,"K2_c14","local",14,90,22,125,1.90584836450478,2.32647587752307,0.350497228827238,0.5
"linear",3,6,0.1,5,"K1_global","global",1,160,12,125,1.67159078786175,2.07187605557817,0.254652234690387,0.5
"linear",3,6,0.1,5,"K2_c10","local",10,64,31,125,2.41085625934848,2.94927846186835,0.394989011379966,0.5
"linear",3,6,0.1,5,"K2_c12","local",12,77,25,125,2.09874520514182,2.59992915435158,0.338988689282332,0.5
"linear",3,6,0.1,5,"K2_c14","local",14,90,22,125,1.93215058484269,2.37477716493143,0.310281505683696,0.5
"linear",3,6,0.1,6,"K1_global","global",1,160,12,125,1.72163297182274,2.09025691770516,0.329697864381958,0.5
"linear",3,6,0.1,6,"K2_c10","local",10,64,31,125,2.2908941280001,2.81892762680688,0.42159967309827,0.5
"linear",3,6,0.1,6,"K2_c12","local",12,77,25,125,1.98023675779817,2.45666769667522,0.332596701276721,0.5
"linear",3,6,0.1,6,"K2_c14","local",14,90,22,125,1.86834973149168,2.30268906459525,0.364456073027014,0.5
"linear",3,6,0.1,7,"K1_global","global",1,160,12,125,1.6843809352678,2.07838674632162,0.245755772224399,0.5
"linear",3,6,0.1,7,"K2_c10","local",10,64,31,125,2.37677062918127,2.91852857425003,0.469924540769743,0.5
"linear",3,6,0.1,7,"K2_c12","local",12,77,25,125,2.132614522485,2.65952307902197,0.3752368258292,0.5
"linear",3,6,0.1,7,"K2_c14","local",14,90,22,125,1.89450346316505,2.33471033102622,0.288559378154999,0.5
"linear",3,6,0.1,8,"K1_global","global",1,160,12,125,1.61655285544871,1.99559024525298,0.245401019271448,0.5
"linear",3,6,0.1,8,"K2_c10","local",10,64,31,125,2.24462438300518,2.80146512087664,0.37338916306987,0.5
"linear",3,6,0.1,8,"K2_c12","local",12,77,25,125,2.05567182467555,2.51141532670154,0.323253079920088,0.5
