"Config","arm_type","t","median_l2","q25_l2","q75_l2","n_rep"
"TS (q=0.25, T1=150, T2=8)","TS",75,0.702165684828634,0.627576871568305,0.790216329735843,100
"TS (q=0.25, T1=150, T2=8)","TS",76,0.674991051555473,0.603747068511461,0.760673668304559,100
"TS (q=0.25, T1=150, T2=8)","TS",77,0.649343372348655,0.582730797341399,0.732329571238738,100
"TS (q=0.25, T1=150, T2=8)","TS",78,0.627260334924699,0.561984577244197,0.709775823923754,100
"TS (q=0.25, T1=150, T2=8)","TS",79,0.606714063302198,0.54299696568477,0.689119702113299,100
"TS (q=0.25, T1=150, T2=8)","TS",80,0.585129426090408,0.524397352582993,0.66855537738253,100
"TS (q=0.25, T1=150, T2=8)","TS",81,0.564220727475323,0.506400813311044,0.646002631046138,100
"TS (q=0.25, T1=150, T2=8)","TS",82,0.545794562192773,0.489174873000574,0.623410099482631,100
"TS (q=0.25, T1=150, T2=8)","TS",83,0.527386523368189,0.472698296770647,0.599647598432467,100
"TS (q=0.25, T1=150, T2=8)","TS",84,0.509795259140066,0.456925379724156,0.577356395362076,100
"TS (q=0.25, T1=150, T2=8)","TS",85,0.493143206300253,0.441496877064602,0.559784430248263,100
"TS (q=0.25, T1=150, T2=8)","TS",86,0.477783790101067,0.42671706785061,0.543251609146792,100
"TS (q=0.25, T1=150, T2=8)","TS",87,0.463100180233415,0.411672109508974,0.525344679672666,100
"TS (q=0.25, T1=150, T2=8)","TS",88,0.448253163948103,0.39921110232955,0.506894140853495,100
"TS (q=0.25, T1=150, T2=8)","TS",89,0.433728109004232,0.385066521449905,0.489484050209306,100
"TS (q=0.25, T1=150, T2=8)","TS",90,0.420525534655039,0.371398374610807,0.474719408956446,100
"TS (q=0.25, T1=150, T2=8)","TS",91,0.406364304680226,0.361964386429414,0.461742338173518,100
"TS (q=0.25, T1=150, T2=8)","TS",92,0.394357254182186,0.351384595056095,0.447326091457917,100
"TS (q=0.25, T1=150, T2=8)","TS",93,0.383783219665776,0.341313803080508,0.435214408464689,100
"TS (q=0.25, T1=150, T2=8)","TS",94,0.372547349756892,0.330780868428539,0.425079291298174,100
"TS (q=0.25, T1=150, T2=8)","TS",95,0.36178055486049,0.320899143692327,0.415354343705823,100
"TS (q=0.25, T1=150, T2=8)","TS",96,0.350828513842431,0.310994951174124,0.40567200875493,100
"TS (q=0.25, T1=150, T2=8)","TS",97,0.342544403302902,0.300492126941944,0.393708775522789,100
"TS (q=0.25, T1=150, T2=8)","TS",98,0.332908112898555,0.290636378046978,0.382316479287837,100
"TS (q=0.25, T1=150, T2=8)","TS",99,0.323593604701244,0.282096770076021,0.376088215231137,100
"TS (q=0.25, T1=150, T2=8)","TS",100,0.317215268507777,0.276700060392056,0.368362309613459,100
"TS (q=0.25, T1=150, T2=8)","TS",101,0.3118377021608,0.270817295890557,0.359249122694756,100
"TS (q=0.25, T1=150, T2=8)","TS",102,0.305891060044513,0.264798411830457,0.350034085128187,100
"TS (q=0.25, T1=150, T2=8)","TS",103,0.299845798389945,0.260718363270801,0.342051756727068,100
"TS (q=0.25, T1=150, T2=8)","TS",104,0.295277903440904,0.256333108710017,0.333909328527046,100
"TS (q=0.25, T1=150, T2=8)","TS",105,0.290503838001559,0.252078431921648,0.326621883621249,100
"TS (q=0.25, T1=150, T2=8)","TS",106,0.285676944750708,0.247884014931543,0.319918905809307,100
"TS (q=0.25, T1=150, T2=8)","TS",107,0.279949307848149,0.243332984219396,0.313263838779219,100
"TS (q=0.25, T1=150, T2=8)","TS",108,0.275526801183868,0.240368960547076,0.306193422931194,100
"TS (q=0.25, T1=150, T2=8)","TS",109,0.270147111241599,0.239461142907467,0.300209889884118,100
"TS (q=0.25, T1=150, T2=8)","TS",110,0.264872333505478,0.236882099749024,0.297471335074641,100
"TS (q=0.25, T1=150, T2=8)","TS",111,0.260665803992318,0.233368762628473,0.294316715425724,100
"TS (q=0.25, T1=150, T2=8)","TS",112,0.257429018875281,0.232130489790133,0.292404805601398,100
"TS (q=0.25, T1=150, T2=8)","TS",113,0.254201101600049,0.229933324183966,0.290916005738795,100
"TS (q=0.25, T1=150, T2=8)","TS",114,0.252922598977881,0.226589902662679,0.288925935909364,100
"TS (q=0.25, T1=150, T2=8)","TS",115,0.252211363748661,0.22486721424553,0.287119188318827,100
"TS (q=0.25, T1=150, T2=8)","TS",116,0.250976519281076,0.220817539801471,0.285294239296244,100
"TS (q=0.25, T1=150, T2=8)","TS",117,0.247306536713384,0.22027572833341,0.283707414587013,100
"TS (q=0.25, T1=150, T2=8)","TS",118,0.245555192429156,0.219943715979398,0.28169893787825,100
"TS (q=0.25, T1=150, T2=8)","TS",119,0.242713660406712,0.217551388134002,0.279453307459682,100
"TS (q=0.25, T1=150, T2=8)","TS",120,0.240941466085012,0.214877628821324,0.277635826366234,100
"TS (q=0.25, T1=150, T2=8)","TS",121,0.240680276742846,0.214538240621423,0.274534826879446,100
"TS (q=0.25, T1=150, T2=8)","TS",122,0.240770655391533,0.215070337145296,0.272281503288496,100
"TS (q=0.25, T1=150, T2=8)","TS",123,0.241929409894608,0.215070274702261,0.272017150703462,100
"TS (q=0.25, T1=150, T2=8)","TS",124,0.240416598911506,0.216219632652882,0.27177268904893,100
"TS (q=0.25, T1=150, T2=8)","TS",125,0.240234756776419,0.216400565964269,0.27107965189212,100
"TS (q=0.25, T1=150, T2=8)","TS",126,0.240277014061474,0.217294718146894,0.270492609081437,100
"TS (q=0.25, T1=150, T2=8)","TS",127,0.240119201302223,0.216715229954327,0.269790844033387,100
"TS (q=0.25, T1=150, T2=8)","TS",128,0.240154259668296,0.216405646002896,0.26977719929728,100
"TS (q=0.25, T1=150, T2=8)","TS",129,0.240358987218557,0.215044727842367,0.268975356713627,100
"TS (q=0.25, T1=150, T2=8)","TS",130,0.240768935317595,0.214928917679231,0.269654985242233,100
"TS (q=0.25, T1=150, T2=8)","TS",131,0.240753285007382,0.21569637336917,0.270376689204161,100
"TS (q=0.25, T1=150, T2=8)","TS",132,0.240725999027392,0.216981316057263,0.271071692140534,100
"TS (q=0.25, T1=150, T2=8)","TS",133,0.241696394584948,0.217455101715805,0.271405559390669,100
"TS (q=0.25, T1=150, T2=8)","TS",134,0.242646857135514,0.217047244099391,0.27152249025652,100
"TS (q=0.25, T1=150, T2=8)","TS",135,0.243525052164578,0.217454263140729,0.271650297763525,100
"TS (q=0.25, T1=150, T2=8)","TS",136,0.243689412099787,0.218230506817702,0.272639557955039,100
"TS (q=0.25, T1=150, T2=8)","TS",137,0.244638862485595,0.218519108300397,0.273265425752412,100
"TS (q=0.25, T1=150, T2=8)","TS",138,0.244134355315884,0.218306113882502,0.27297376939961,100
"TS (q=0.25, T1=150, T2=8)","TS",139,0.244969925787513,0.218040490218069,0.273848738351325,100
"TS (q=0.25, T1=150, T2=8)","TS",140,0.245755529088318,0.218014625239802,0.274380058715852,100
"TS (q=0.25, T1=150, T2=8)","TS",141,0.246588476506204,0.218222746037923,0.27495426763818,100
"TS (q=0.25, T1=150, T2=8)","TS",142,0.247939820696059,0.218696174872522,0.275676734067449,100
"TS (q=0.25, T1=150, T2=8)","TS",143,0.249147129439234,0.218882469535434,0.277040171432007,100
"TS (q=0.25, T1=150, T2=8)","TS",144,0.24982774672129,0.218297533644085,0.277860192051341,100
"TS (q=0.25, T1=150, T2=8)","TS",145,0.250588621470588,0.218288778903481,0.278619626430601,100
"TS (q=0.25, T1=150, T2=8)","TS",146,0.251349487364284,0.218609680747235,0.27941406423221,100
"TS (q=0.25, T1=150, T2=8)","TS",147,0.252455283641256,0.218725427104041,0.280350995244776,100
"TS (q=0.25, T1=150, T2=8)","TS",148,0.254694084829616,0.21946649116411,0.2811793193494,100
"TS (q=0.25, T1=150, T2=8)","TS",149,0.255944919198176,0.220219617748262,0.280939300417203,100
"TS (q=0.25, T1=150, T2=8)","TS",150,0.256809978648635,0.221317653761837,0.282325426938921,100
"TS (q=0.25, T1=150, T2=8)","TS",151,0.248797869573137,0.216471190805717,0.278214439010738,100
"TS (q=0.25, T1=150, T2=8)","TS",152,0.242057859714041,0.214946063505998,0.27143318878987,100
"TS (q=0.25, T1=150, T2=8)","TS",153,0.235379405889861,0.207067634804421,0.259847256470574,100
"TS (q=0.25, T1=150, T2=8)","TS",154,0.235060123923946,0.203101713932623,0.256121281502443,100
"TS (q=0.25, T1=150, T2=8)","TS",155,0.229778057940905,0.202916319230314,0.250943464382399,100
"TS (q=0.25, T1=150, T2=8)","TS",156,0.218386995521895,0.201992640356248,0.249608366459756,100
"TS (q=0.25, T1=150, T2=8)","TS",157,0.213137955714955,0.197126494172034,0.241551317297217,100
"TS (q=0.25, T1=150, T2=8)","TS",158,0.211643645386082,0.193831601848601,0.2315470445195,100
"TS (q=0.25, T1=200, T2=8)","TS",0,15.8113883008419,15.8113883008419,15.8113883008419,100
"TS (q=0.25, T1=200, T2=8)","TS",1,15.0144318809774,14.9769514289964,15.0542074943418,100
"TS (q=0.25, T1=200, T2=8)","TS",2,14.2691049911785,14.2021192481586,14.3440985562673,100
"TS (q=0.25, T1=200, T2=8)","TS",3,13.5676516276005,13.4769023486226,13.6725361438423,100
"TS (q=0.25, T1=200, T2=8)","TS",4,12.9082520710439,12.79935535711,13.036997186744,100
"TS (q=0.25, T1=200, T2=8)","TS",5,12.288135308767,12.160477730286,12.4494388653734,100
"TS (q=0.25, T1=200, T2=8)","TS",6,11.7093149882156,11.5630560163725,11.8955804163519,100
"TS (q=0.25, T1=200, T2=8)","TS",7,11.1743576810921,11.001306428152,11.3763663603841,100
"TS (q=0.25, T1=200, T2=8)","TS",8,10.6622779775675,10.4740625471345,10.8831787560449,100
"TS (q=0.25, T1=200, T2=8)","TS",9,10.1856798569624,9.97602223186576,10.4017064388473,100
"TS (q=0.25, T1=200, T2=8)","TS",10,9.73418913426448,9.50995128755778,9.94169088978629,100
